"simulation","mean_words_per_extracted_text_block"
762,253.833333333333
763,342.5
764,306.25
765,267.222222222222
766,278.583333333333
767,297.083333333333
768,332.416666666667
769,299
770,286.222222222222
771,319.25
772,304.444444444444
773,370.611111111111
774,262
775,320.388888888889
776,310.111111111111
777,305.111111111111
778,377.75
779,339.694444444444
780,314.611111111111
781,301.333333333333
782,259.388888888889
783,296.083333333333
784,276.527777777778
785,287.444444444444
786,285.083333333333
787,220.444444444444
788,340.25
789,330.305555555556
790,338.361111111111
791,284.75
792,333.944444444444
793,271.694444444444
794,293.388888888889
795,313.666666666667
796,281.555555555556
797,287.166666666667
798,225.055555555556
799,332.472222222222
800,305.194444444444
801,311.888888888889
802,269.25
803,254.555555555556
804,231.166666666667
805,259.388888888889
806,335.583333333333
807,219.5
808,338.361111111111
809,303.833333333333
810,290.888888888889
811,296.083333333333
812,289.861111111111
813,338.972222222222
814,302.694444444444
815,274.833333333333
816,322.611111111111
817,337.583333333333
818,333.527777777778
819,301.666666666667
820,301.555555555556
821,220.361111111111
822,305.694444444444
823,304.944444444444
824,263.194444444444
825,254.861111111111
826,307.777777777778
827,266.972222222222
828,251.972222222222
829,349.638888888889
830,378.666666666667
831,336.388888888889
832,322.75
833,275.527777777778
834,345.166666666667
835,267.305555555556
836,303.305555555556
837,342.277777777778
838,220.527777777778
839,329.166666666667
840,293.027777777778
841,320.944444444444
842,343.972222222222
843,276.472222222222
844,317.055555555556
845,353.305555555556
846,269.555555555556
847,264.666666666667
848,251.305555555556
849,362.5
850,305.25
851,312.666666666667
852,318.388888888889
853,229.861111111111
854,303.277777777778
855,336.055555555556
856,263.916666666667
857,347
858,316.25
859,350.361111111111
860,249.75
861,372.777777777778
862,298.361111111111
863,365.472222222222
864,241
865,331.055555555556
866,339.916666666667
867,287.888888888889
868,252.638888888889
869,300.472222222222
870,368.416666666667
871,358.222222222222
872,283.361111111111
873,353.861111111111
874,380.611111111111
875,300.75
876,322
877,302.666666666667
878,286.583333333333
879,320.611111111111
880,306.916666666667
881,399.666666666667
882,325.833333333333
883,285.583333333333
884,303.166666666667
885,308.25
886,264.805555555556
887,302.361111111111
888,325.75
889,328.194444444444
890,293.166666666667
891,290.833333333333
892,216.555555555556
893,343.638888888889
894,248.888888888889
895,338.138888888889
896,336.194444444444
897,261.416666666667
898,311.944444444444
899,352.805555555556
900,324.444444444444
901,305.166666666667
902,328.583333333333
903,377.638888888889
904,309
905,326.611111111111
906,252.222222222222
907,259.083333333333
908,331.944444444444
909,392.638888888889
910,232.805555555556
911,282.055555555556
912,377.972222222222
913,344.527777777778
914,231.444444444444
915,237.694444444444
916,284.166666666667
917,319.277777777778
918,276.444444444444
919,267.027777777778
920,374.138888888889
921,306.277777777778
922,385.333333333333
923,254
924,338.777777777778
925,411.444444444444
926,342.388888888889
927,293.361111111111
928,370.944444444444
929,244.75
930,367.083333333333
931,326.472222222222
932,292.416666666667
933,225.75
934,334.722222222222
935,301.166666666667
936,301.472222222222
937,286.472222222222
938,329
939,273.861111111111
940,326.472222222222
941,300.916666666667
942,326.444444444444
943,330.194444444444
944,398.305555555556
945,293.75
946,267.083333333333
947,325.472222222222
948,224.388888888889
949,352.694444444444
950,352.277777777778
951,250.027777777778
952,280.861111111111
953,277.5
954,261.583333333333
955,321.833333333333
956,269.861111111111
957,258.416666666667
958,329.5
959,399.611111111111
960,383.805555555556
961,319.194444444444
962,336.5
963,282.222222222222
964,287.777777777778
965,324.888888888889
966,262.694444444444
967,268.527777777778
968,317.944444444444
969,294.916666666667
970,297.861111111111
971,281.805555555556
972,259.75
973,359.361111111111
974,266.277777777778
975,312.638888888889
976,367.055555555556
977,224.472222222222
978,249.75
979,243.5
980,282.388888888889
981,355.944444444444
982,281
983,324.333333333333
984,299.694444444444
985,312.222222222222
986,353.666666666667
987,272.583333333333
988,347.277777777778
989,294.75
990,313.944444444444
991,283.75
992,277.222222222222
993,307
994,282.333333333333
995,323.111111111111
996,347.083333333333
997,381.916666666667
998,266.916666666667
999,308.277777777778
1000,364.444444444444
1001,303.666666666667
1002,388.944444444444
1003,309.138888888889
1004,271.583333333333
1005,343.194444444444
1006,260.083333333333
1007,262.361111111111
1008,340.388888888889
1009,333.277777777778
1010,260.555555555556
1011,312.388888888889
1012,232.194444444444
1013,336.305555555556
1014,280.333333333333
1015,292.055555555556
1016,263.944444444444
1017,242.166666666667
1018,277.222222222222
1019,361.277777777778
1020,359.833333333333
1021,311.944444444444
1022,347.277777777778
1023,346.833333333333
1024,289.388888888889
1025,319.944444444444
1026,251.555555555556
1027,315.583333333333
1028,244.333333333333
1029,263.5
1030,267.833333333333
1031,325.888888888889
1032,286.416666666667
1033,247.555555555556
1034,291.222222222222
1035,284.555555555556
1036,274.111111111111
1037,320
1038,327.916666666667
